Ciutat,Variació mensual,Variació tres messos,Variació anual,€/m2,Menos 60 m2 / Menos de 100.000 Euros,Menos 60 m2 / Entre 100.000 Euros y 250.000 Euros,Menos 60 m2 / Más de 250.000 euros,Entre 60 m2 y 120 m2 / Menos de 100.000 Euros,Entre 60 m2 y 120 m2 / Entre 100.000 Euros y 250.000 Euros,Entre 60 m2 y 120 m2 / Más de 250.000 Euros,Más de 120 m2 / Menos de 100.000 euros,Más de 120 m2 / Entre 100.000 euros y 250.000 euros,Más de 120 m2 / Más de 250.000 euros
La Línea de la Concepción,2.04,-1.04,-5.04,1.115 ,-,-,-,856 ,1.417 ,-,-,1.065 ,-
Los Barrios,-1.89,-3.15,-5.91,1.231 ,-,-,-,-,1.432 ,-,-,1.087 ,1.244 
Puerto Real,1.32,4.87,1.50,1.299 ,-,-,-,1.020 ,1.493 ,-,-,1.150 ,1.400 
Rota,1.98,7.08,2.38,1.814 ,1.713 ,-,-,1.034 ,1.912 ,-,-,1.413 ,1.878 
San Fernando,-1.75,-1.75,2.99,1.283 ,1.312 ,-,-,998 ,1.482 ,-,-,1.123 ,1.768 
Sanlúcar de Barrameda,0.45,-0.04,6.06,1.509 ,1.409 ,2.275 ,-,1.082 ,1.646 ,-,-,1.151 ,1.690 
San Roque,-3.56,-1.46,-8.21,1.968 ,-,-,-,855 ,1.700 ,3.256 ,-,1.092 ,2.297 
Tarifa,-1.68,4.13,7.41,3.043 ,-,3.704 ,-,-,2.636 ,4.048 ,-,-,2.830 
Ubrique,-,-2.46,-0.49,967 ,-,-,-,893 ,-,-,-,913 ,-
Villamartín,8.26,9.79,-,1.216 ,-,-,-,778 ,1.767 ,-,-,888 ,-
Ampuero,-0.12,0.04,-8.65,1.007 ,902 ,-,-,853 ,1.193 ,-,-,1.117 ,-
Argoños,0.47,-1.15,-,1.066 ,-,-,-,-,-,-,-,1.000 ,-
Arnuero,0.56,-1.16,-,1.304 ,-,-,-,-,1.953 ,-,-,1.011 ,1.565 
Arredondo,-0.27,-2.45,-,840 ,-,-,-,841 ,-,-,-,-,-
Bárcena de Cicero,0.04,-0.87,-2.43,1.089 ,1.062 ,-,-,1.022 ,1.534 ,-,-,1.156 ,1.268 
Bareyo,3.08,4.14,-,1.333 ,-,-,-,-,1.844 ,-,-,933 ,1.586 
Camargo,0.21,-0.28,-8.05,1.320 ,-,-,-,1.037 ,1.597 ,-,-,1.029 ,1.319 
Castro-Urdiales,-1.05,-2.16,-4.34,1.917 ,1.610 ,2.531 ,-,1.138 ,2.092 ,2.998 ,-,1.280 ,1.758 
Colindres,-0.71,-1.90,0.13,1.308 ,-,-,-,946 ,1.515 ,-,-,-,-
Comillas,0.29,0.88,-,1.482 ,1.510 ,-,-,884 ,1.714 ,-,-,838 ,-
El Astillero,2.83,1.69,-4.26,1.324 ,-,-,-,938 ,1.573 ,-,-,943 ,-
Guriezo,-,-5.43,-,1.202 ,-,-,-,-,1.365 ,-,-,1.065 ,1.264 
Laredo,1.12,-6.90,-20.26,1.554 ,1.623 ,-,-,931 ,1.925 ,3.257 ,-,955 ,2.055 
Liendo,0.29,-4.40,-,1.126 ,-,-,-,-,-,-,-,758 ,1.515 
Limpias,-0.26,-1.99,-15.66,1.045 ,1.179 ,-,-,1.003 ,1.334 ,-,-,1.019 ,-
Los Corrales de Buelna,0.03,0.97,-,972 ,-,-,-,880 ,1.364 ,-,-,884 ,-
Marina de Cudeyo,1.02,2.61,-,1.515 ,-,-,-,-,1.735 ,-,-,1.158 ,1.502 
Meruelo,-0.76,-4.44,-,1.145 ,-,-,-,1.023 ,1.620 ,-,-,938 ,1.320 
Miengo,6.95,3.42,-4.64,1.343 ,-,-,-,1.188 ,1.638 ,-,-,876 ,1.472 
Noja,1.12,2.10,3.48,1.886 ,1.682 ,2.400 ,-,1.364 ,2.051 ,-,-,1.016 ,1.798 
Piélagos,-0.47,1.41,-6.97,1.299 ,1.379 ,-,-,1.072 ,1.568 ,-,-,1.047 ,1.436 
Ramales de la Victoria,0.11,-0.54,-8.84,958 ,1.062 ,-,-,932 ,1.500 ,-,-,640 ,-
Rasines,-0.29,-2.46,-,1.000 ,-,-,-,-,1.192 ,-,744 ,1.071 ,-
Ribamontán al Mar,1.94,2.63,1.99,1.950 ,-,2.699 ,-,-,2.100 ,-,-,1.032 ,1.806 
Santa Cruz de Bezana,2.38,3.00,-17.61,1.435 ,-,-,-,-,1.826 ,-,-,828 ,1.511 
Santa María de Cayón,-1.83,2.92,-2.95,1.155 ,-,-,-,993 ,1.493 ,-,-,976 ,-
Santander,0.65,1.56,-3.74,1.983 ,1.536 ,2.644 ,-,1.164 ,1.871 ,3.178 ,-,1.064 ,2.686 
Santoña,-3.84,-,-,1.581 ,-,-,-,1.000 ,1.687 ,-,-,-,-
Suances,7.60,14.27,-,1.538 ,1.813 ,2.382 ,-,1.035 ,1.733 ,-,-,907 ,1.717 
Torrelavega,0.11,17.63,13.65,1.262 ,1.219 ,-,-,877 ,1.716 ,-,-,1.053 ,1.468 
Voto,-0.22,-1.77,-9.68,956 ,1.106 ,-,-,944 ,1.246 ,-,-,908 ,1.119 
Alcalà de Xivert,12.14,20.19,30.99,1.659 ,1.583 ,-,-,1.079 ,1.918 ,-,-,1.126 ,2.052 
Almazora/Almassora,0.02,1.97,-2.94,888 ,-,-,-,771 ,1.232 ,-,607 ,914 ,1.580 
Almenara,0.67,0.21,-14.00,883 ,-,-,-,735 ,1.493 ,-,563 ,782 ,-
Benicarló,0.02,-2.38,1.32,1.151 ,1.278 ,-,-,862 ,1.488 ,-,572 ,1.022 ,1.563 
Benicasim/Benicàssim,-1.48,-2.75,-2.45,1.867 ,-,-,-,1.091 ,1.891 ,3.471 ,-,1.239 ,1.847 
Borriana/Burriana,0.66,1.49,2.37,879 ,-,-,-,676 ,1.208 ,-,571 ,936 ,1.780 
Castellón de la Plana/Castelló de la Plana,1.23,4.65,-2.28,1.193 ,1.182 ,-,-,795 ,1.512 ,-,603 ,1.092 ,1.668 
La Vall d'Uixó,-1.61,2.98,12.35,830 ,-,-,-,725 ,1.224 ,-,554 ,882 ,-
Moncofa,1.75,3.16,-8.00,1.157 ,1.343 ,-,-,987 ,1.547 ,-,-,964 ,-
Nules,1.46,0.09,-3.97,828 ,-,-,-,745 ,-,-,554 ,843 ,-
Onda,-0.17,4.93,4.82,835 ,-,-,-,722 ,1.207 ,-,-,847 ,1.052 
Oropesa del Mar/Orpesa,0.71,2.80,1.77,1.479 ,1.453 ,2.306 ,-,1.131 ,1.743 ,-,-,1.068 ,1.730 
Peníscola/Peñíscola,-1.77,1.36,-2.53,1.748 ,1.657 ,2.614 ,-,1.145 ,1.802 ,3.422 ,-,1.151 ,1.922 
Vila-real,-2.47,-2.19,-2.15,878 ,-,-,-,711 ,1.211 ,-,558 ,906 ,1.492 
Vinaròs,0.33,3.24,8.31,1.314 ,1.459 ,-,-,888 ,1.607 ,-,-,1.091 ,1.617 
Alcázar de San Juan,-1.19,-4.42,3.72,855 ,-,-,-,807 ,1.235 ,-,574 ,854 ,-
Almagro,0.92,0.82,-,770 ,-,-,-,756 ,-,-,557 ,764 ,-
Ciudad Real,-0.97,1.26,1.95,1.203 ,1.338 ,-,-,943 ,1.485 ,-,694 ,1.026 ,1.469 
Miguelturra,-1.55,-4.08,-,990 ,-,-,-,854 ,-,-,-,869 ,-
Puertollano,0.30,-0.03,-3.44,734 ,-,-,-,703 ,1.204 ,-,556 ,804 ,-
Tomelloso,-0.50,-3.23,4.52,791 ,-,-,-,767 ,1.239 ,-,532 ,721 ,1.141 
Valdepeñas,-0.42,2.70,-9.62,780 ,-,-,-,771 ,-,-,548 ,749 ,-
Baena,3.78,3.99,-3.79,839 ,-,-,-,784 ,1.299 ,-,550 ,866 ,-
Córdoba,-0.55,-0.31,0.38,1.457 ,1.244 ,2.445 ,-,1.061 ,1.616 ,2.722 ,610 ,1.237 ,1.677 
La Carlota,-0.35,-,-,1.050 ,-,-,-,822 ,1.257 ,-,-,955 ,1.496 
Lucena,1.20,0.10,-5.22,882 ,936 ,-,-,807 ,1.269 ,-,609 ,843 ,1.227 
Cuenca,-2.20,-0.30,0.81,1.189 ,-,-,-,863 ,1.477 ,-,-,1.214 ,1.266 
Tarancón,-,-9.18,14.53,841 ,-,-,-,797 ,-,-,-,838 ,-
Donostia/San Sebastián,0.13,-1.73,0.41,4.194 ,-,3.443 ,-,-,2.767 ,4.851 ,-,-,3.827 
Eibar,-1.74,-1.44,-1.72,2.014 ,1.633 ,2.704 ,-,1.232 ,2.126 ,-,-,-,-
Errenteria,-,-,0.15,2.637 ,-,2.834 ,-,-,2.425 ,3.523 ,-,-,-
Irun,0.22,-1.62,3.02,2.601 ,-,2.991 ,-,-,2.369 ,3.390 ,-,-,2.320 
Begur,1.03,-3.97,3.33,2.945 ,-,-,-,-,-,4.104 ,-,-,2.741 
Blanes,-0.61,-0.92,-1.43,1.937 ,1.818 ,2.281 ,-,1.152 ,1.794 ,3.355 ,-,1.284 ,2.478 
Caldes de Malavella,-2.44,-4.35,4.64,1.730 ,-,-,-,-,1.865 ,-,-,1.370 ,1.759 
Calonge,-0.19,2.93,-0.84,2.608 ,2.119 ,3.161 ,-,-,2.212 ,4.209 ,-,1.476 ,2.288 
Castelló d'Empúries,-0.45,-0.97,-3.02,2.678 ,2.101 ,2.821 ,-,-,2.251 ,3.824 ,-,1.203 ,3.065 
Castell-Platja d'Aro,-3.54,-2.56,2.03,3.074 ,2.836 ,3.492 ,-,-,2.610 ,3.764 ,-,-,2.789 
Figueres,0.17,-2.31,3.37,1.427 ,1.376 ,-,-,972 ,1.603 ,-,-,1.213 ,1.629 
Girona,1.00,0.70,-2.06,2.288 ,-,3.142 ,-,986 ,1.972 ,3.145 ,-,1.489 ,2.496 
L'Escala,-0.19,-0.69,-6.92,2.414 ,-,2.807 ,-,-,2.353 ,3.106 ,-,1.523 ,2.201 
Llançà,-0.64,0.72,8.79,2.111 ,-,2.763 ,-,-,2.041 ,-,-,1.147 ,2.124 
Lloret de Mar,-0.62,-3.35,-2.78,2.085 ,1.929 ,2.706 ,-,1.218 ,1.999 ,3.266 ,-,1.282 ,2.258 
Maçanet de la Selva,-0.20,0.60,-0.78,1.352 ,-,-,-,1.151 ,1.789 ,-,-,1.059 ,1.544 
Palafrugell,-1.58,-0.92,3.80,2.244 ,-,-,-,1.091 ,1.822 ,3.744 ,-,1.310 ,2.789 
Palamós,0.85,0.49,-2.73,2.451 ,-,2.951 ,-,-,2.181 ,3.277 ,-,-,2.371 
Roses,-0.32,-1.22,0.38,2.605 ,2.332 ,2.889 ,-,-,2.202 ,3.703 ,-,1.496 ,2.727 
Salt,-3.27,-7.22,2.00,1.188 ,-,-,-,909 ,1.463 ,-,-,1.125 ,-
Santa Cristina d'Aro,1.19,5.19,-4.29,2.048 ,-,-,-,-,1.981 ,-,-,1.315 ,2.073 
Sant Feliu de Guíxols,-1.84,2.08,0.17,2.396 ,-,2.930 ,-,1.184 ,2.077 ,3.676 ,-,1.346 ,2.496 
Torroella de Montgrí,-1.53,0.32,6.73,2.211 ,2.086 ,2.644 ,-,-,2.133 ,-,-,-,2.270 
Tossa de Mar,-1.09,-4.30,-2.29,2.653 ,-,2.895 ,-,-,2.204 ,-,-,-,2.819 
Vidreres,-0.93,-1.03,-5.30,1.409 ,-,-,-,-,1.825 ,-,-,1.159 ,1.516 
Albolote,-2.30,-0.48,5.11,1.216 ,-,-,-,1.002 ,1.586 ,-,-,1.037 ,1.391 
Alhendín,-0.20,-6.40,13.62,1.091 ,-,-,-,1.038 ,1.315 ,-,-,869 ,1.259 
Almuñécar,1.25,-0.66,1.55,1.961 ,1.601 ,2.732 ,-,1.192 ,1.935 ,2.773 ,-,1.348 ,2.322 
Armilla,0.10,2.55,12.73,1.295 ,1.383 ,2.177 ,-,1.106 ,1.526 ,2.501 ,-,1.012 ,1.426 
Atarfe,-0.59,-0.72,9.46,909 ,-,-,-,856 ,1.456 ,-,571 ,793 ,1.252 
Cájar,5.23,2.85,8.24,1.110 ,-,-,-,908 ,1.353 ,-,-,863 ,1.342 
Cenes de la Vega,-4.63,-9.21,-0.27,1.030 ,-,-,-,963 ,1.304 ,-,428 ,980 ,1.325 
Churriana de la Vega,1.19,0.03,3.93,1.081 ,1.443 ,-,-,1.008 ,1.325 ,-,-,935 ,-
Cúllar Vega,1.36,-4.04,6.01,954 ,-,-,-,911 ,-,-,-,887 ,1.151 
Dílar,6.25,-2.64,-,1.197 ,-,-,-,-,-,-,-,1.034 ,1.367 
Gójar,1.34,2.32,7.81,1.012 ,-,-,-,828 ,-,-,-,831 ,1.208 
Granada,0.13,0.59,2.81,1.961 ,1.438 ,2.753 ,-,928 ,1.884 ,2.852 ,-,1.399 ,2.151 
Gualchos,0.10,7.68,-0.36,1.464 ,1.555 ,-,-,1.169 ,1.816 ,-,-,951 ,-
Güejar Sierra,-1.01,-,-,962 ,1.059 ,-,-,847 ,-,-,-,-,-
Huétor Vega,0.78,-1.64,3.99,1.179 ,1.349 ,-,-,957 ,1.266 ,-,-,970 ,1.370 
Las Gabias,0.69,0.57,3.72,949 ,1.189 ,-,-,953 ,1.265 ,-,606 ,794 ,994 
La Zubia,-2.82,-5.45,-0.71,1.112 ,1.113 ,-,-,1.018 ,1.446 ,-,-,913 ,1.259 
Loja,0.70,-5.33,-,767 ,-,-,-,726 ,-,-,546 ,805 ,-
Maracena,-0.79,-1.60,0.55,1.077 ,-,-,-,979 ,1.373 ,-,-,910 ,-
Monachil,-5.04,-5.28,3.00,1.294 ,1.683 ,2.768 ,-,1.048 ,1.552 ,-,-,848 ,1.349 
Motril,-1.19,-1.18,10.03,1.359 ,1.513 ,-,-,970 ,1.597 ,-,590 ,1.025 ,1.819 
Ogíjares,0.25,2.69,4.45,1.152 ,-,-,-,1.011 ,1.379 ,-,-,1.058 ,1.273 
Padul,-0.49,-4.73,-12.39,798 ,-,-,-,781 ,-,-,532 ,765 ,-
Peligros,-0.10,0.36,-2.90,982 ,-,-,-,940 ,-,-,-,945 ,1.004 
Salobreña,1.61,-2.95,4.94,1.542 ,1.500 ,-,-,954 ,1.620 ,-,-,1.088 ,2.193 
Santa Fe,2.82,8.95,15.84,894 ,-,-,-,836 ,-,-,539 ,884 ,1.331 
Vegas del Genil,0.05,-1.92,-4.66,766 ,-,-,-,880 ,-,-,-,745 ,-
Villa de Otura,2.35,5.84,-1.77,1.114 ,-,-,-,-,1.534 ,-,-,1.098 ,1.105 
Alovera,-,-,-0.32,1.137 ,-,-,-,-,1.464 ,-,-,1.084 ,-
Azuqueca de Henares,0.28,4.42,-2.65,1.330 ,-,-,-,1.117 ,1.471 ,-,-,1.160 ,-
El Casar,-0.87,-0.92,4.65,1.196 ,-,-,-,-,1.546 ,-,-,1.004 ,1.260 
Guadalajara,4.28,-2.22,-2.46,1.391 ,-,-,-,1.036 ,1.546 ,-,-,1.274 ,1.433 
Aljaraque,1.24,-0.14,1.74,1.261 ,-,-,-,990 ,1.351 ,-,-,1.127 ,1.488 
Ayamonte,9.71,18.31,29.66,1.642 ,-,-,-,983 ,1.934 ,-,-,1.173 ,2.158 
Cartaya,6.66,10.92,16.94,1.602 ,-,-,-,952 ,1.803 ,-,-,1.191 ,1.754 
Huelva,0.68,-0.93,5.70,1.164 ,1.134 ,-,-,873 ,1.447 ,-,-,1.212 ,1.749 
Isla Cristina,1.99,-0.26,-4.42,1.442 ,-,-,-,1.085 ,1.644 ,-,-,966 ,-
Lepe,5.81,1.84,-4.79,1.481 ,-,-,-,949 ,1.705 ,-,-,1.066 ,-
Punta Umbría,-0.14,0.97,3.24,1.530 ,-,-,-,1.237 ,1.575 ,-,-,1.132 ,1.714 
Valverde del Camino,-3.11,-4.93,10.71,1.011 ,-,-,-,820 ,1.353 ,-,-,897 ,-
Jaca,1.51,-3.97,8.48,1.783 ,1.710 ,-,-,-,2.000 ,-,-,1.232 ,1.588 
Alaior,-0.67,-,10.07,2.130 ,-,-,-,-,2.047 ,-,-,1.116 ,2.340 
Alcúdia,0.22,-5.53,-1.42,2.784 ,-,-,-,-,2.215 ,3.584 ,-,-,3.100 
Andratx,3.61,0.85,5.89,2.944 ,-,-,-,-,2.257 ,3.967 ,-,-,3.060 
Calvià,0.29,0.05,5.34,3.769 ,-,3.811 ,-,-,2.774 ,4.278 ,-,-,3.775 
Campos,-2.92,-2.34,17.20,2.449 ,-,-,-,-,1.818 ,3.759 ,-,-,2.440 
Ciutadella de Menorca,-0.15,1.89,1.60,2.322 ,2.100 ,2.858 ,-,-,2.189 ,3.472 ,-,1.327 ,2.286 
Eivissa,-0.55,0.05,-4.61,4.541 ,-,-,-,-,-,4.615 ,-,-,4.348 
Es Castell,3.62,-,-,2.245 ,-,-,-,-,2.008 ,-,-,-,2.343 
Es Mercadal,0.03,-1.59,-,2.360 ,-,2.666 ,-,-,2.140 ,3.619 ,-,1.268 ,2.397 
Inca,-0.62,0.87,7.17,1.684 ,-,-,-,-,1.802 ,-,-,1.220 ,1.882 
Llucmajor,1.48,0.58,1.35,2.443 ,-,2.977 ,-,-,2.160 ,3.197 ,-,1.337 ,2.557 
Manacor,0.33,-2.38,-1.46,1.598 ,-,-,-,977 ,1.823 ,-,-,1.092 ,1.982 
Maó,1.91,0.28,-0.63,2.133 ,-,-,-,-,1.882 ,3.462 ,-,1.310 ,2.270 
Marratxí,-0.92,-0.68,4.88,2.291 ,-,-,-,-,2.399 ,2.927 ,-,-,2.246 
Palma de Mallorca,0.11,-1.28,4.33,2.882 ,2.512 ,3.593 ,-,1.111 ,2.293 ,3.695 ,-,1.588 ,2.990 
Pollença,-2.36,0.89,1.85,3.375 ,-,-,-,-,2.473 ,4.037 ,-,-,3.505 
Santa Eulalia del Río,-0.44,-1.37,0.16,4.334 ,-,-,-,-,-,4.694 ,-,-,4.240 
Santa Margalida,0.30,-,-,2.226 ,-,-,-,-,1.987 ,-,-,-,2.356 
Sant Josep de sa Talaia,-0.84,0.99,0.28,4.468 ,-,-,-,-,-,4.518 ,-,-,4.501 
Sant Lluís,-1.96,-4.43,-,2.826 ,-,-,-,-,2.429 ,-,-,-,2.751 
Sa Pobla,-,-,8.21,1.609 ,-,-,-,-,1.682 ,-,-,874 ,2.165 
Jaén,1.29,3.12,-0.14,1.214 ,1.131 ,-,-,905 ,1.473 ,-,-,1.132 ,1.415 
Linares,-1.36,1.84,8.09,879 ,-,-,-,750 ,1.347 ,-,605 ,866 ,1.009 
Úbeda,1.00,0.10,-2.99,957 ,-,-,-,796 ,1.249 ,-,-,894 ,1.207 
Ezcaray,0.68,-3.49,-,1.393 ,1.545 ,-,-,1.143 ,1.604 ,-,-,-,-
Haro,1.72,3.61,3.16,1.172 ,968 ,-,-,860 ,1.558 ,-,-,1.031 ,1.359 
Lardero,-0.91,-3.25,-4.01,1.438 ,-,-,-,-,1.529 ,-,-,1.181 ,1.476 
Logroño,1.84,1.86,-0.23,1.653 ,1.403 ,-,-,971 ,1.769 ,2.848 ,-,1.305 ,1.912 
Santo Domingo de la Calzada,1.44,-0.76,-4.49,1.053 ,-,-,-,793 ,1.446 ,-,569 ,972 ,1.084 
Villamediana de Iregua,1.47,0.11,-1.76,1.187 ,-,-,-,1.080 ,1.358 ,-,-,1.026 ,-
Agüimes,-0.19,-0.61,-3.20,1.385 ,-,-,-,-,1.670 ,-,-,1.072 ,1.402 
Antigua,-,-1.83,-1.64,1.692 ,1.915 ,-,-,-,-,-,-,1.188 ,1.729 
Arrecife,-0.06,-2.05,-8.46,1.480 ,-,-,-,1.209 ,1.598 ,-,-,1.136 ,-
Arucas,1.18,-0.24,3.06,1.305 ,-,-,-,998 ,1.634 ,-,-,1.020 ,1.383 
Ingenio,4.45,8.63,7.45,1.144 ,-,-,-,996 ,1.309 ,-,-,1.054 ,-
La Oliva,-1.05,-1.98,-3.82,2.009 ,1.888 ,2.507 ,-,-,1.931 ,-,-,1.343 ,2.038 
Las Palmas de Gran Canaria,0.43,2.13,4.61,2.047 ,1.698 ,3.473 ,-,989 ,1.930 ,3.316 ,-,1.114 ,2.186 
Mogán,1.37,2.03,3.01,3.252 ,-,3.481 ,-,-,2.458 ,3.935 ,-,-,2.829 
Puerto del Rosario,-0.12,-0.29,-0.25,1.309 ,-,-,-,1.196 ,1.425 ,-,-,-,-
San Bartolomé de Tirajana,0.01,0.32,1.70,3.106 ,2.369 ,3.410 ,-,-,2.478 ,4.003 ,-,-,2.882 
Santa Brígida,0.70,-3.48,0.01,1.562 ,-,-,-,-,-,-,-,1.136 ,1.696 
Santa Lucía de Tirajana,-1.10,-1.44,-0.23,1.240 ,-,-,-,1.057 ,1.430 ,-,-,1.009 ,1.356 
Teguise,-3.06,-2.98,-3.55,2.068 ,-,-,-,-,2.048 ,-,-,-,1.874 
Telde,2.33,2.77,-4.12,1.318 ,1.469 ,-,-,1.000 ,1.535 ,-,-,967 ,1.658 
Yaiza,-1.93,-3.42,0.78,2.429 ,-,-,-,-,2.056 ,3.339 ,-,-,2.386 
León,1.28,-2.16,-3.18,1.468 ,1.339 ,2.417 ,-,881 ,1.665 ,2.999 ,-,1.222 ,1.878 
Ponferrada,-0.08,6.13,1.35,961 ,1.134 ,-,-,767 ,1.444 ,-,542 ,892 ,1.284 
San Andrés del Rabanedo,0.09,6.46,-2.05,1.151 ,1.418 ,-,-,906 ,1.457 ,-,-,942 ,1.187 
Sariegos,-,0.00,-,1.018 ,-,-,-,-,-,-,-,895 ,1.117 
Valverde de la Virgen,5.57,9.51,-,1.013 ,-,-,-,961 ,1.177 ,-,-,815 ,-
Villaquilambre,0.20,4.17,-2.96,1.215 ,1.345 ,-,-,1.032 ,1.477 ,-,-,1.000 ,1.234 
Alpicat,-,0.65,-,1.083 ,-,-,-,-,-,-,-,973 ,1.163 
Lleida,0.96,3.13,4.94,1.210 ,1.280 ,-,-,888 ,1.535 ,-,644 ,1.153 ,1.557 
Naut Aran,-1.46,0.83,-,3.891 ,-,-,-,-,-,4.248 ,-,-,3.664 
Vielha e Mijaran,-2.10,6.50,-1.93,2.331 ,-,-,-,-,2.110 ,3.006 ,-,-,2.373 
Barreiros,-0.53,-2.65,-,1.087 ,-,-,-,1.042 ,-,-,-,-,-
Foz,-1.13,-4.67,-,1.020 ,-,-,-,936 ,1.560 ,-,-,-,-
Lugo,-0.87,-1.62,-4.86,1.314 ,1.365 ,2.559 ,-,880 ,1.613 ,-,591 ,1.121 ,1.498 
Viveiro,2.24,1.88,-,1.070 ,-,-,-,991 ,-,-,-,-,-
Alcalá de Henares,1.09,1.60,0.64,1.836 ,-,2.834 ,-,1.187 ,1.855 ,2.652 ,-,1.632 ,1.909 
Alcobendas,0.06,-7.11,-20.44,2.956 ,-,-,-,-,2.252 ,-,-,851 ,3.626 
Alcorcón,2.12,1.47,2.23,2.145 ,-,2.393 ,-,-,2.048 ,2.925 ,-,-,2.096 
Alpedrete,0.38,-4.50,-2.45,1.687 ,-,-,-,-,1.880 ,-,-,-,1.549 
Aranjuez,-1.06,-2.19,-2.30,1.380 ,-,-,-,1.089 ,1.588 ,-,-,1.177 ,1.465 
Arganda del Rey,0.66,-1.03,-0.14,1.531 ,-,-,-,1.181 ,1.642 ,-,-,1.297 ,1.537 
Arroyomolinos (Madrid),2.10,1.75,0.90,1.540 ,-,-,-,-,2.203 ,-,-,-,1.414 
Boadilla del Monte,3.92,4.25,-11.91,2.056 ,-,-,-,-,-,-,-,796 ,2.249 
Ciempozuelos,-0.97,3.20,0.22,1.317 ,-,-,-,1.065 ,1.468 ,-,-,1.168 ,-
Collado Villalba,1.56,0.75,0.88,1.659 ,-,-,-,-,1.803 ,-,-,1.202 ,1.476 
Colmenar Viejo,1.32,2.05,7.47,1.752 ,-,-,-,-,1.830 ,-,-,-,1.634 
Coslada,-2.04,-2.84,-1.82,2.005 ,-,-,-,-,1.973 ,-,-,-,1.971 
El Escorial,0.16,2.54,-5.31,1.608 ,-,-,-,-,1.813 ,-,-,1.469 ,1.528 
Fuenlabrada,-1.46,1.30,2.37,1.767 ,-,-,-,-,1.775 ,-,-,1.631 ,1.518 
Galapagar,-0.01,-1.32,-12.94,1.415 ,-,-,-,-,1.661 ,-,-,1.030 ,1.550 
Getafe,2.03,2.48,0.52,1.973 ,1.879 ,2.382 ,-,-,1.890 ,3.121 ,-,-,1.825 
Guadarrama,1.14,4.56,1.25,1.620 ,-,-,-,-,1.841 ,-,-,-,1.537 
Humanes de Madrid,1.18,-0.57,1.05,1.616 ,-,-,-,-,1.749 ,-,-,1.409 ,-
Las Rozas de Madrid,1.15,-0.76,-10.95,2.236 ,-,-,-,-,2.750 ,3.601 ,-,789 ,2.158 
Leganés,1.20,2.48,5.29,2.070 ,-,2.662 ,-,-,1.978 ,2.849 ,-,-,1.969 
Madrid,0.45,1.33,-4.44,3.451 ,1.949 ,3.620 ,5.695 ,1.277 ,2.163 ,4.306 ,-,1.161 ,4.078 
Majadahonda,0.73,-3.26,-20.00,2.523 ,-,-,-,-,-,3.687 ,-,768 ,2.979 
